BEST_timestep:50, avg det res:-8.557999999999447
BEST_timestep:100, avg det res:-5.753000000000151
BEST_timestep:250, avg det res:-2.96150000000009
BEST_timestep:300, avg det res:-2.702500000000091
BEST_timestep:350, avg det res:-1.2864999999999724
BEST_timestep:550, avg det res:0.035500000000021334
BEST_timestep:750, avg det res:0.09900000000000421
BEST_timestep:800, avg det res:0.26300000000000806
BEST_timestep:1000, avg det res:0.46750000000002
BEST_timestep:1050, avg det res:1.2579999999999847
BEST_timestep:1100, avg det res:3.369999999999936
BEST_timestep:1400, avg det res:4.057999999999762
BEST_timestep:1450, avg det res:4.780499999999791
BEST_timestep:1550, avg det res:4.795499999999766
BEST_timestep:1600, avg det res:5.203499999999812
BEST_timestep:2000, avg det res:5.541999999999999
BEST_timestep:2100, avg det res:6.2999999999999945
BEST_timestep:3500, avg det res:6.520000000000182
BEST_timestep:5650, avg det res:6.607500000000094
BEST_timestep:6050, avg det res:6.658500000000102
BEST_timestep:7100, avg det res:6.863000000000128
BEST_timestep:16350, avg det res:7.317500000000072
BEST_timestep:19750, avg det res:7.410500000000297
BEST_timestep:20050, avg det res:7.540500000000143
BEST_timestep:21150, avg det res:7.697500000000197
